AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
Bisch J	eb8ef6a6-5c62-3d3f-bf67-73172ae1cfc0	23507387	0	1
Bischof GN	ae2d1294-bd1b-3eab-9788-94f16aa09922	22569063,23102512	0	2
Bischoff M	c64fac5d-a564-35a5-9698-134bae64239a	23207575,21655298,17080437,20932912,23427116,16620884	0	6
Bischoff SC	c01ee5c1-7b17-3c10-ac9e-53fceffb82f5	23677490	0	1
Bischoff-Grethe A	50baa6fb-644a-3dd9-b02a-5440ddc8c183	18834944	0	1
Bisesi J	0297f70b-68fb-3a4b-b7a2-e8b75d131944	16253527	0	1
Bish JP	a4012c62-e728-3250-ac01-fca57d32f6c5	15734353	0	1
Bishop DT	75a9e8ed-0432-3223-8be8-fc62e323a8ee	21741450	0	1
Bishop DV	1ce6dd0f-c965-38a9-8990-3653f8de8594	16280465,17412410	1	2
Bishop J	ca611673-3b7e-3654-949d-c4e3396d1701	22119647,23341872	0	2
Bishop SJ	c71ad027-bfce-3d09-833c-2d0de678ecbd	16956980,18252743	0	2
Bisiacchi PS	f0d50f8d-a45f-3f60-99b3-5ebd2087766c	18586525	0	1
Biswal B	996cb232-cf18-37ef-a2de-620a106dac54	18400794,17888409,20974260	0	3
Biswal BB	6419c1a1-0cfd-393a-a31e-505670b813ea	22174905,23266702,19221144,24023609,18219617	1	5
Bitan T	d8044d2b-23ec-37d2-a4f7-f0764f02dd4c	20691675,18068690,16575838,18226833,17010394,16275017,15944143,17133384,16978881,18413290,17884585,19665784,18262207,20810879	1	14
Bitter T	6b060fb6-daab-3844-b490-ff3e500b913f	20553879	0	1
Bittner A	798f3e5b-29ee-38c6-88e6-61dff197a32a	17617655	0	1
Bittner RA	c00b11c6-52d9-3532-8a31-1a543804a1a1	17462914,16421302,15978843	0	3
Bittoun J	163d0022-2acc-3963-a6ea-94dc40975ca2	16962339,18598769	1	2
Biver C	bc59427b-d9d6-30d0-9cec-82b4e093e7c3	16729281	1	1
Bixby JC	af2c366c-628e-3757-8fbc-6b54f87e028b	16554508	0	1
Bizzell J	f80eee06-61fa-3b1b-b460-6a0b6a1b68f2	23482245,19726030	0	2
Bjarkam CR	875669f6-1a37-39c6-a4c8-f2f096e91511	20060048	0	1
Bjoertomt O	95b5ec11-0036-3af7-b8e6-b08e2aa749c7	20176690	0	1
Bjork JM	74134c9d-b116-3e33-8184-16d9847a52f4	17475792,15260961,17140674,22281932,18448634	0	5
Bjorkman A	f0823f53-f52f-31fa-8959-e833363b62f8	22537316,19250441	0	2
Bjorkman-Burtscher IM	38246cbd-2169-3a6a-88e3-a441e08d48d1	22537316	1	1
Bjornsdotter M	d89e91c6-98d8-3e79-b6bd-632bcc8113b8	20674749,19625521	0	2
Bjornson B	d965b36c-1410-3dcf-87ed-1061ed946ad8	21484949	0	1
Blaas J	983c51b0-a333-3a0a-b107-8e7105bf90dc	19954931	0	1
Black J	a6a4a9a5-3a94-3574-9d3f-6016d0b8b27f	19428430	1	1
Black JM	f3d9da8b-20c0-3c4f-831b-fddb3c2009a8	22302817	0	1
Black KJ	d43a4380-8cde-30eb-9aaf-9ab55ac91e5d	15110735,21123574,15268921	0	3
Black SE	dd14197b-ffc7-3d9d-94d4-0051ad6b148c	17963998,19747900,19103293,14689505	1	4
Blackband SJ	f00d82a8-931c-37e5-bbb6-213d42774d19	16546404	0	1
Blacker D	76968ff6-c5b0-3d8f-b4d2-f8c58f5f0a27	17021177	0	1
Blackford JU	cd1e152c-7bce-33fa-9679-e2c26abfb86a	20045069,20660534,22008369,24035535,19264142	1	5
Blackwood N	692100f8-d766-3548-8fcb-faec3592e0e6	15130588	0	1
Blagdon R	f9e32de9-47ad-3727-ba32-1d38f2d8050c	22818781	0	1
Blaha CD	167bb9c2-9536-3ee3-b264-360874b0adf0	22967832	0	1
Blain CR	17c54b5a-7942-37d7-9dbd-3150e7e818c4	17765211	0	1
Blair C	f44a3792-4ebd-3427-94f0-5bcc22d47013	18835075	0	1
Blair J	c01ea7f3-b8f6-3a1f-8b06-13181a810c9a	16603133,15850746	0	2
Blair JR	9eaf6bbc-9564-3954-9a51-f2a322c2228b	16891125,17079666	1	2
Blair K	7107c65b-d8f0-33d6-a859-8bc0809aa97d	17079666	0	1
Blair KS	811517cb-2e1b-3b0d-a548-dae7bb25e665	17239620,21601433,23115195,17292631,22819939	0	5
Blair RJ	3b066961-6141-30ac-9a50-36be64a8692c	18804540,16387514,16647271,18793731,17161627,18234519,16418007,20150343,17239620,17889565,21601433,19726640,17292631,22819939,17118409,17950474,22047730	1	17
Blakemore SJ	ce256b99-4874-3768-81e1-0e177f21596e	21467048,20923708,20657777,20519541,19302165,15993573,15964210,20510369,15817510,22661411,23231884,23507383	1	12
Blamire AM	1dd0c404-d69b-3a4f-a20a-f434603b0f17	22189566,21955457,17408930,17412610	0	4
Blanchard M	dc8203ba-28ec-31b0-b795-c00f2a10294b	19770054,21782309	0	2
Blanco-Hinojo L	0cf2da81-1130-33b5-ac7e-f6b628fc3a3a	23200527,21829564	0	2
Blangero A	7d08f763-759f-3d0c-879c-8e815ea80bec	19109986,20347045	0	2
Blangero J	41831c9a-6f7c-3c7b-8341-89d32db66993	20035879,22197743	0	2
Blank H	5227e665-c365-3e90-a41b-a0ca95b93755	23023154,21900569	0	2
Blank SC	91426d40-e27f-3402-8b98-6111c22fd273	11133789	0	1
Blanke O	0c15b540-7ac7-37d7-b326-c873b9a4ae4f	23964067,23238433,19912333	1	3
Blankenburg F	204e0994-999b-316a-8463-c3aa15db5494	22579866,20826657,16765998,22155327,17965128,19778619,24036354,20176690,12902398,21949769	1	10
Blascovich J	76b2a4ec-1838-32eb-bf38-0bbdcc8c3ead	21948955	0	1
Blasi G	66a6af69-058d-3dd7-880a-9fb652c4aa74	17284202,19940176,21179564,18374902,15953488,19176830,22901767,17042790,17292590,15271588,19633177,21087673,19428222,19709644,19046394	0	15
Blasi V	3a377da0-510e-30b2-a5e8-18bad028c9e9	19188005,20457166	0	2
Blasius I	827f22f6-0960-3b76-9866-f1c96436d7fa	20004250	0	1
Blau V	339d56cf-56f0-38e1-884c-173541641785	18702722,20061325	0	2
Blautzik J	333becdd-ecf3-39fb-b059-f0b95da6c973	23825652	0	1
Bleakman D	8e29d968-07d0-3b80-8825-c3b78f87f732	22119647	0	1
Blechert J	95256357-2116-3d2c-a63a-caf97ddac337	22197790,21093595	1	2
Blecker C	a2293c58-84e4-380a-89fe-a7f8a0e35801	16038771,17080437,20932912	0	3
Blecker CR	0c48b278-6d15-3ab7-ba7a-62a36487b8e0	17627848,16360321,16620884	0	3
Bledowski C	fb0d89b9-a232-3726-88dd-f961d0c20a41	19864586,17692981,17462914,16421302,17320413,17990304,15193581	1	7
Bleich A	a7b811ec-3f69-325a-93c3-dd4c86d2475c	17395609	0	1
Bleich N	c0e9e2fd-8c62-302c-9511-7537b4b01f5f	22696391	0	1
Bleich S	ae6742df-1a19-35af-a22c-95a4c2f0f3c0	22093438	0	1
Bleich-Cohen M	79ecedc5-d208-340a-8b1f-b91c742f4330	19185468,19172653	0	2
Bleijenberg G	ee26d22b-136e-3ec1-ae06-c4d73001ad09	15240435	0	1
Blennow K	acd8d025-861a-3410-a1f0-4f2cf52a4a85	22701578	0	1
Blennow M	38707aad-bcca-34c8-9c22-cdf93b86af9d	20421249	0	1
Blex S	8c105ee1-d96c-341e-93a0-165641227417	23485849	0	1
Blezat A	e9d96026-6e4d-3ae2-9aa7-9e93152c5504	23107380	0	1
Blickenstorfer A	982d3e66-001e-3de6-a69f-31dc9fd5783b	19172654,20384781,18344193	0	3
Blin O	a9ab16b6-63ec-37d6-9c5c-b420c458595b	21440563,18234477,21095105	1	3
Blinder RA	5691678c-2bbc-3820-ad94-9cb11f6667e7	15193624	0	1
Bliss-Moreau E	329e3b25-898e-3b77-a691-d99cc9654a18	18579414	0	1
Blitzer DN	8e756512-543a-3666-9972-bfbc310ce29a	20108224	0	1
Bloch MH	3683303b-3259-3c36-a448-8ee47da29ae9	23916249	0	1
Block RI	d3eddbd9-6740-3960-ae86-76fb125dfd5f	23544046	0	1
Bloem BR	8e65aa28-b957-34b1-970d-d3b567a4a4e2	23442226,19439588,21126990,23357204,19710357	0	5
Bloemen O	b0d29b53-7a8d-3c05-b9fd-6239e9a268a1	21831603	0	1
Blokland GA	9a9744aa-e810-3f09-a6be-1f3b9ba666e7	18342423	0	1
Blom JD	5da72ca9-8d90-3220-bb71-c6e34f7b9364	23453584,18854323,21527413,21097491	1	4
Blom O	f5a25ab8-912c-3680-b019-fd1470f2ca7e	18848999	0	1
Blomert L	98395f87-5ecc-3c97-b3f9-4fcac1fa5153	18702722,15260962,20061325,16751298	1	4
Blond S	5ae516c7-f6eb-37ce-8c36-3961e2a94acb	20237130,21777680	0	2
Blonder LX	fce1a663-eaf0-3cb9-b909-75ffacecdd8e	15268916	0	1
Blondin F	483a6ffa-d53f-3543-9d93-99937520af21	15722212,16168731,17894398	0	3
Blood AJ	754daa8c-dbd4-3c94-a302-8b261272bb38	17448452,22384048	0	2
Bloom A	c23b2763-4d90-3f70-9418-20ac740773bf	17644071	0	1
Bloom AS	4b3d9fde-646e-37df-b879-48b9c19b0ad2	16061398	0	1
Bloom R	7325a4b1-ccbc-3c33-9f83-3523984ecb8e	17574821	0	1
Bloomfield P	c824022d-ba51-3540-8982-8e8625b47dd4	21858062	0	1
Blos J	27d3b104-696c-376a-bced-3a163e8dba80	22828163	0	1
Bluhm RL	7a6c7875-2f17-37ab-87f6-33f8d7d4c585	20648663,15820708	0	2
Bluhm S	43306f05-9b1c-3a0c-b150-a53a54aaef4e	22815223	0	1
Blum ER	2a70b576-7a75-3ea1-a8ad-dfe19b93f3fe	22982513	0	1
Blum J	62c7e72e-c64f-3338-83cf-5c2674717070	23450833	0	1
Blumberg HP	22c17b5c-eee2-396d-b068-fd1ac3a001ee	21733287,23185566,18707678,21666263	1	4
Blumel I	548d1bf5-253a-3970-b6cb-e202fb9b6a01	19429079	0	1
Blumen HM	72b6dbb7-698f-3a2c-82cd-99da4637a09b	21699922	0	1
Blumenfeld HK	bfa40485-413a-35ec-adf7-1a9a7cf0d8d3	16098571	0	1
Blumenfeld RS	6b7496d5-26fb-39e7-9c2d-98bdad022668	21907293,18364027	1	2
Blumstein SE	18b49fff-bf6f-3871-b118-4e098188032f	18279947,17504782,23816958,18656462,16842827	1	5
Blurton SP	b864c34d-c62e-3414-911e-0d3959063ecb	22170969	0	1
Bluschke S	36fe638f-52a3-3e73-b46b-84275b3f8c53	20728556	0	1
Bly BM	c3dba954-ad92-30cd-afd2-264d0fcb5bb7	15907308	0	1
Blythe MS	b3702793-5a09-344b-a5f9-79ee89d7ac8b	20728873	0	1
Bo J	5f3d86cf-da80-3062-abf1-378d18c7f41d	20727412	0	1
Boardman J	36fdf429-57f6-3416-b1fb-d149f26dc728	21943959	0	1
Bobes MA	5b7174a0-1591-3946-941e-a5e8c0b294a7	21570471,24130761,22956672	0	3
Bobrow L	45deffec-bbdb-34f4-b8db-91597e95d12b	23185566	0	1
Boccaletti S	37f9aca4-0e16-3493-a247-4da69028bbb4	20079444	0	1
Boccardi M	c9c2f547-0f59-30f7-8ee5-9f04665c7f1c	23146251,15036621,19097164,15585344,21676597	0	5
Bochdanovits Z	4cf03284-f580-3e7f-b3c0-2a492ae31fe7	23620758	0	1
Bockholt HJ	0efc314a-d638-301f-b50f-cdfbc5121eda	19434601	0	1
Bodammer N	94760d89-8961-33ba-bc2e-9c5748a36072	20084170,17188516	0	2
Bodammer NC	0296a2a5-1deb-3b8e-8026-ef5ad59bb5d6	20624473,22331673	0	2
Boddaert N	d1ce2a30-ccda-3c72-81f3-7ed835ec60db	15006669,21600290,15325384	0	3
Bode S	c39292ca-737f-3584-904b-387c9ed2b3fa	23041528,20534850	0	2
Bodfish JW	f676e0dd-8dbf-362e-a2d1-eb70587cd289	23223206,19015088,21148176,19574440	1	4
Bodini B	1830f03e-b0fb-3335-9da0-98ab1cd40967	19172648,22328451	0	2
Bodlund O	7d5132ae-6b19-385b-9846-a8f68d0d4563	24064198	0	1
Bodnar M	427e29fc-0c4c-3f21-9b2b-37751db0db98	21059482	0	1
Bodurka J	779667e0-d57f-3069-bbe5-8bda0fbf4543	22807028,20051364,21931738,22696421,21111828	1	5
Boecker H	f7b92c8e-e22a-3ff2-babc-d7a81aa45747	19059350,15769494,22704853,24167610,16281283,19083992,15157701,11222456	1	8
Boecker R	3d196091-d73f-3fe1-ba75-813bee1d6b25	24005303	0	1
Boehler CN	770eab0b-dbab-3a69-b32d-bbbdaa9dfd14	21680848,24108799,20452445,20943902,22022611,21305663,20084170,23454569,21295019,18191960,21715640,21451034	1	12
Boehm SG	5e056dfe-fece-37a0-bb19-365f6d069aff	22108504	0	1
Boeker H	25e171b5-cb51-3fd1-8db0-f9ad014e8475	17888408,19117277,16230029,16372256	0	4
Boer JA	b5e2e75f-6545-3d25-9ced-8eea4869f249	22206877	0	1
Boers F	e7624f34-7671-3cd0-83e5-b9a22337dc78	15193582,20627130,19969096,20946960,21438078,21527785	0	6
Boersma M	dd6e64f4-4f09-395b-891d-4a79b40add18	15852388	0	1
Boertien T	cb9569ef-5684-3528-8645-70aa193891b6	23300524	0	1
Boesch C	ae4029aa-1ae3-3f3e-b904-ab715cdd2d19	20877577	0	1
Boesiger P	1bfc79fd-7526-3ef9-890c-99aa8595a5d0	22796982,18423780,15882649,17888408,17012294,17318832,19117277,17077159,18094020,16230029,16372256,20510373	1	12
Boespflug E	d7f72740-26f1-345d-a531-3a490aa0ee8f	22560503	0	1
Boessen R	3ef88948-80fd-37ce-ad48-32b1cc6bac0b	20006720	0	1
Boesveldt S	5f3891ad-6344-3713-9be6-b0229221d880	21305668	0	1
Boettcher J	941be60c-51e3-321c-897f-09ec7bb4228d	18499480	0	1
Boettger MK	45185a03-3806-3000-bc28-b23d5b901fdc	17570347	0	1
Boettger S	b524b7b0-ae8a-367f-998f-f308933bf8a2	17570347	0	1
Boettiger CA	deeb77cf-c556-3751-a94a-13e63955a9a1	18160646,15758182	0	2
Boeve BF	8a4d7664-33e4-3cef-9323-91b02fc486aa	16797786,10648440	0	2
Boex C	3807aa31-f10c-3e02-8073-e014f542de79	15238446	0	1
Bogdahn U	d63158ec-0359-3543-94cf-de2614e064d0	17379262,16750298,17587497,20346399,16520065,18819988	1	6
Bogdan R	a45069dd-3411-3ecb-8633-5ec693849398	18595740,19621370	0	2
Bogert B	5d79e92f-bdc8-373d-9f5f-572cfbb90a03	22144968	0	1
Bogerts B	e1901950-cb49-3f10-90a4-b77d6b0adcf3	10639399,20702070,23040316,18329905,18155927	0	5
Bogetto F	c21f988e-83b1-314b-aba9-01ec21fc5922	17005420	0	1
Boghi A	dd8905ea-f42d-3c91-a844-4f9e08e4a618	17005420,21546219,21461742	0	3
Bogler C	e4377f06-ce39-323f-87d0-10c4094323cc	23041528	0	1
Bogod N	f3798989-421e-3457-9505-2239eb068669	18793658	0	1
Bogomolny D	2e2f6b58-cf62-3f94-998e-37e19b2bcbe9	18824236	0	1
Bogorodzki P	6bfea7b5-1518-3692-b3d9-215032de17a2	21310189,22835865	0	2
Boguslawska R	e80928d7-e548-3dd9-9e1b-06dbe5917a17	23423669,19631275	0	2
Bohbot VD	7d8961a0-eff4-3788-95d3-316243a9cce0	23352276	0	1
Bohland JW	669d80f3-5ec0-3687-8fc2-73dd8deadc84	21195191	0	1
Bohlhalter S	0f9279f6-a916-315a-8b5a-4e64ac8af71c	18796430,16154363,16520330	0	3
Bohm C	d0bd8efe-e954-368b-a2b4-dba3aac89a22	19961938	0	1
Bohn K	e302bdba-dcfd-3624-86c7-39f2425c808e	23333869	0	1
Bohnen NI	813d807b-61fd-3e6d-a6b4-3f562c207b0e	22343069	0	1
Bohner G	5429aa88-c469-36fd-b166-cf70d5904732	19616415,17566768,18515047	0	3
Bohning DE	913f6cfb-f6c7-3770-9997-5a5d89c8e11f	15820232,19523932,15050863	1	3
Bohon C	8fa18001-e831-3d96-a9a8-9676a56b77f3	20116437	0	1
Bohotin V	84ab8e6d-fc46-34e0-8711-b966895a7925	16330505	0	1
Bohrn I	5f937e8b-e06a-3acf-88e5-6860d3474289	22836179	0	1
Bohrn IC	c1c0b00e-882d-39b2-b12a-07dece38fff8	22956671,22783212	0	2
Bohus M	995eac13-3120-3cdb-8509-220c7151ff35	20537612	0	1
Boisson D	f6672910-e12f-34f1-a4c1-c00ed437213e	19129395	0	1
Boivin M	a53ae9f4-8385-376b-9362-6a67dc96ae7c	20851164	0	1
Bokde A	42687190-9993-3fe9-8d4d-60925882b78e	22227051	0	1
Bokde AL	502dd8d6-088e-342f-8d98-f899be34d8ab	24120094,16014654,21948954,19878723,16520329,19811772,23608113,17566054,18672352,16325382,17827035,20035830,17166745,20541837,20004726	1	15
Bokde AW	bad3cbbb-938f-326b-b4ef-ee00c3fea39d	19961938,22277263	0	2
Boker H	564e96e5-927f-3b1c-be5a-fcbb2152807a	22359353	0	1
Boks MP	eea80b3a-b362-32c6-b7c0-055de95f150f	18854323	0	1
Boksem MA	4aea4ecc-d9aa-3ead-b38b-a44341361568	21470595	0	1
Boksman K	26e9e4d1-9a40-3255-8b9f-d71a71ea8fce	15885517,15820708	0	2
Bolding MS	4e5437ec-94ab-3356-9f5d-593a7008f9e5	21782395,22831772	0	2
Boldt R	af61a4c1-1804-3176-be86-c722c0fbc72a	23734202	0	1
Bolger DJ	58650529-60dd-335d-937e-30a969d132cc	20691675,18413290,17957704,18725239,19665784,20884355	0	6
Bolger N	07bb2082-d5ad-31c4-91ec-4101845a0a5e	20881115	0	1
Bolitho SJ	d1676465-01b6-33d2-a197-45f349762b68	23485851,23382821	0	2
Bolla KI	61c917b3-12d6-39fe-af5e-c3dea98ae536	15907305	0	1
Boller A	ce41fc64-0e9d-3de5-ba42-15ba9ab39d32	21689852,21930136,23220494	0	3
Bolling DZ	a7d92089-2ce2-30df-a445-9c107b0e6a63	20974272	0	1
Bollinger J	f06a0f31-4ef6-3bde-a0f2-842b74f98862	20600999,22049420,21272595,20980597	0	4
Bolognani F	0bf16065-b916-34e5-ad2d-eb9a9afc4cff	20691427	0	1
Bolstad I	b9631acf-4db3-35a9-8f14-6b52a43624af	23826392	0	1
Bolstridge M	1820cce6-72c7-3fb6-955d-1ac3087e1d04	24048847	0	1
Bolte A	efb100f8-934f-3cc3-b431-fffc1210b420	17822926	0	1
Bolter AF	5c9b16fb-02b3-328e-9246-d8425656a9f2	21998038	0	1
Bolton PF	33ccad5b-d698-3643-85b5-5f095cb74513	19819933	0	1
Boly M	d0cada1c-603c-338f-874c-4c37dd95f506	16330505,18465800,20570741,19350563,17509898	0	5
Bolz M	1c356cf6-f3ae-3863-b1d8-49a3500eb521	17337165	0	1
Bomba IC	be371fae-4b5e-3961-b642-f8c096cd4ee3	23752177	0	1
Bonab AA	bdb5be2b-65ca-3a1a-a1c4-bd0dc03b31cc	18562019	0	1
Bonakdarpour B	c54a11cd-325f-3d32-b874-072fb4a080c8	20603138	0	1
Bonath B	145921b6-5ddb-3475-9619-ab4c8493628d	23085111,23032489	0	2
Bonatti LL	144c2aec-00f2-3838-b7af-31ce69660171	21888981	0	1
Bondi MW	1044cab5-f2b7-3687-9301-0a10afd9dce2	20298792,16434125,21163275,18160181	1	4
Bondolfi G	49db1d43-5f7c-38f3-ba64-b93c0bbb1579	21179564,24086664	1	2
Bonelli S	4059b44c-33f1-3a80-af9a-4cbc02293783	23674488,22330313	0	2
Bonelli SB	400a7a18-5114-3153-b385-0b37308e1765	20157009,18261930,23715092	0	3
Bones PJ	6dcca8ad-7088-3cf0-959f-46a581fb40af	23008180	0	1
Bonetti M	8d52ee69-0620-3665-b7da-79fa016b0555	21074899	0	1
Bongers A	6dbe4eb6-801a-38a0-bebb-23d67bba682f	19770058,21041200	0	2
Bonhage C	98b9e3fb-dea8-3371-803f-12314186e4a5	23684870	0	1
Boni C	6f309099-e404-3af7-860d-3467bc331530	21246665	0	1
Boniface SJ	f7b490ba-bc70-3952-84e5-92a5652c8b6c	16648455	1	1
Bonilha L	963f7905-e461-3e97-ba4d-eda1e091b790	17292928,20884358,17370345,18396063,19687294	0	5
Bonini N	e1f9b2f2-a7f6-3019-bdaa-4d02f492cb1b	22368088	0	1
Bonjean M	d9ffc4a9-d552-3511-8f63-a598a2615ece	20570741	0	1
Bonmassar G	57b7b91d-2236-39d1-b572-51def60d90d6	16624582	1	1
Bonnard M	51a0d859-1188-3fea-9f82-634f2da68ee9	15050561,18584891	1	2
Bonne O	10808548-bae1-31be-9be7-ce1f074db3c6	22577221,21482458	1	2
Bonnelle V	c8a6d56d-5aeb-3eea-9017-b0acf9e69d46	21940437	0	1
Bonnemann C	8f707e4a-e8bc-373b-b930-34b528ef094e	19327402	0	1
Bonnemeier H	733fe3f3-f27f-36d0-84aa-45446eccad75	18028117	0	1
Bonner JC	52f6b478-c501-3927-90ce-fe87cbf24f1a	19351579	0	1
Bonner M	fc331c8a-be94-380c-9ac5-b666f88535b8	20071459	0	1
Bonner MF	e3b043ba-d2d7-3695-af1a-ec467589272c	23333416,22674273,23220494	0	3
Bonner-Jackson A	760cfc5c-3451-3acb-b3d1-2c37b22976c7	15992522,17123479,18790618	0	3
Bonnet M	40832d96-152d-3db6-b6db-2710e75b9e71	15464352	0	1
Bonnet MC	9b51ea0d-1e2b-3da8-813d-a021baf3585f	18465748	0	1
Bonni S	de5b9a01-2728-3240-97f5-53ca4bc6062d	23285136,21677180	0	2
Bonomini C	2c65692e-2c29-3440-8e4c-89c3e2f25ccc	19324592	0	1
Bonte M	b5838be7-228e-3dd7-a4e3-337f6696e01e	22230946	0	1
Bonte ML	2c975ee8-289f-39a1-a807-ba487358c494	19028527	0	1
Bonthoux F	ab296a62-4d26-31d4-867c-c09bb998d45b	18977304	0	1
Bonzano L	d3f9edba-961f-3d91-abb8-81cb8e075500	23063450	0	1
Boogerd W	c54c2a35-1db8-3cc9-abc4-6a8aa94f37ac	20669165	0	1
Book GA	e6773cac-db16-3411-9458-137f6f9a500e	21126735	0	1
Bookheimer S	56370afd-9147-3a2d-a40d-4b5de461ddad	19703569,20729396	1	2
Bookheimer SY	69935096-6589-331d-ab66-3de86111bb33	22858151,22401755,23149028,19449330,21854858,21040792,22806961,18958161,20303070,20708906,20237258,19507155,11950765,18256251,19794914,17555989,21784971,19263420,18063349,16310510,20227857,21334443,18586110	1	23
Boomsma DI	4a45ccd7-e2af-32b2-b680-17f72a881793	18342424,18342423,22155028,20837502,20410105,20823085,17346990,19294640,21549354,18396414	1	10
Boor R	82f16df3-3431-368b-bf7a-e6f0616e1d40	19619661	0	1
Boorman E	b8970dca-9236-32d1-ac00-42b96c2ce538	23739983	0	1
Boorman ED	25a42285-5b5b-34de-997b-5a929adceae3	23392656	0	1
Boot E	ece55773-9e16-3db6-ad94-0718f309764f	21831603	0	1
Boot WR	3f727eb8-7d28-32e5-bd78-f5e6abd9d1d2	21440644,21546146	0	2
Booth JR	688b0d14-17c6-3508-8363-8cef1d4c5298	20691675,18068690,16575838,21391270,15340932,18226833,17010394,16275017,17133384,16098571,22767633,21246667,16978881,18514678,19773547,18413290,22815229,17957704,17884585,18725239,22698991,19665784,21715629,16427033,18262207,20810879,20884355,18330872,12112766,12811732	1	30
Bor D	a8e40a87-836d-3d7c-afc4-079b32db5466	15217392,17963797,20406690,17509898	1	4
Bor J	75b22dea-fb51-3501-bc78-58ee02efbfa3	22031874,21067898,21543191	0	3
Bordessoules M	d1c9c04e-85c3-3509-a0a6-bea8b153cfb8	15929092	0	1
Boreta L	db15ee99-c288-3deb-9ceb-dd9dc145c233	20483375	0	1
Boretius S	29e3b777-bf45-3c2a-9900-6074cd1d59a5	17617655	0	1
Borg C	005d0d3b-07f0-34ba-bf19-fce727d0172f	22258801	0	1
Borgo F	476967c2-d507-3381-8b8a-17e163f8c11a	17621607	0	1
Borgwardt S	936887c9-824f-3de6-a455-e2b2f61da4b9	24039715	0	1
Borgwardt SJ	b2be21cd-66ee-36ee-b246-1904098d0d0a	18589404,20167205,21922599,19168334	1	4
Boriel D	0369dbc5-a4ac-3e5c-8925-cb4f13bd6189	16920366	0	1
Boring D	745ab876-8295-387b-84ac-6c9acf326281	12477698	0	1
Borisov S	2869d385-6ef8-3e59-8d36-a7a0f6c9eab7	21945697,22743197	0	2
Borja K	d15956b7-99c9-38a3-99d1-cdcb36153bc3	22956672	0	1
Borkert J	eeeee121-5a24-3be9-be7c-d2fbb99df3d0	19631275	0	1
Bormans G	a4db1865-4273-3a97-8b0e-ed1a1d0930c8	18077184,21459482	1	2
Born C	e9308a08-ea7d-3eed-bfbb-19e06ecfd764	18095276,23051901,16520329,17566054,18672352,16325382,21620907,17827035,20035830	0	9
Born J	a0b07474-2ddb-3388-839a-910f7adbb1c4	23501052,22037418,16339020	1	3
Bornhovd K	ae45adec-384a-38b5-a329-2983da1fff6c	12023321	0	1
Bornkessel I	48654ad8-f23b-3a4f-abdf-97bb3224166c	15929098,15862222,16769225	0	3
Bornkessel ID	8ded632c-320d-3a50-904f-decb3d44e039	16400163	0	1
Bornkessel-Schlesewsky I	46fc1a9c-7da5-3510-89e5-4710ce48b29b	20655580,19853290,19783579,17222565	0	4
Bornstein MH	e48f5bd7-11f1-3c77-a017-df951bfab249	22230948	1	1
Borod JC	561d63b2-4f06-307c-9bb6-bd987cf47be4	19906514	0	1
Borofsky LA	a9b1bb05-c2f1-3f94-b8c2-7f98382d366e	22798396	0	1
Boronat CB	ad2ce160-98bd-3d34-8e8b-b399291d0ec4	15820643	0	1
Boronikolas V	f3b9ff9a-5942-36b8-ace0-3cb702c8527c	18483003	0	1
Boroojerdi B	7c3ad756-7405-3251-b235-26300a7e6869	15787715,15852385,19453637,15062860	1	4
Borowsky B	87479d64-1bd5-335d-b324-3a74d80b6daa	23938592	0	1
Borrelli E	dcb14a86-a394-323b-9e2b-cde1e1706253	19176830	0	1
Borriello G	e709b57b-79df-3599-894c-de44df606b16	15006652	0	1
Borsci G	ee60f02a-4e91-3c37-8e10-5c2ee661aa57	23146251	0	1
Borsook D	7011921a-b881-388f-87b7-9c08d0ca56c9	17407825,19030105,18923647,22323632,22539862,17050704,18567621,22119647,22197740,23341872,21389234,18266215,23097300,19674842	1	14
Borst G	e3f743de-be13-30fa-8136-72bd5e291234	22815825	0	1
Borst JP	ce6a4876-7c7d-39eb-9f79-1477f73f02a1	20886034	0	1
Bortoletto M	7403fbfd-a6a8-3eef-b31c-abac88476dc4	19945535	0	1
Bos PA	caeb19fb-30ec-3e3d-bbfc-6a91df2f61c4	20398773,22507228	0	2
Bosch B	e93ef74a-a4e8-3a21-954d-f89d1eca6c9c	21546220,17560689,18053618,16339086,23284783,19022337,19560134	0	7
Bosch R	27f67452-c315-3f0d-b7a7-9c74d10c05fd	23239964	0	1
Bosco G	c66ec00c-c9e2-3a38-9769-bba37e2ee134	18057110	0	1
Bosco P	5f55167d-b1fb-3f4f-83c6-d2ec616a4447	16213753	0	1
Bose A	0ffda2ac-b916-3bd3-bc38-f4d5db6bf1fc	19782435,16631384	0	2
Bose SK	c094df91-2134-342f-8abb-32c8fe4e2421	19450953	0	1
Bosga J	42dc1496-12e8-3b10-b655-91805ac09d0e	18378467	0	1
Boshoven W	925d09f5-63fe-37f6-a2b7-9d5d9230851f	20869846	0	1
Bosia M	04108e85-e739-3e10-ae6e-a6c5c00865e2	19632816	0	1
Bosinski HA	a740ca3e-77ec-3857-9e01-c7b6f06e7ccf	17712410,16979350	1	2
Bosker WM	9c7ac684-59df-3dbe-a4f7-e94c593ce11c	21935391	0	1
Bosma R	6d36b263-f6f2-3ee9-b37e-37e608199cd0	23029097,19457388	0	2
