First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Jan-Hinnerk 	Vogel	Vogel JH	Biology & Biochemistry	Genentech Inc, USA				574af1f8-4c10-4515-a9c9-b79a2ec92b3a
Gunnar 	Von Heijne	Von Heijne G	Biology & Biochemistry	Stockholm University, Sweden				3798ff2f-718e-4c3e-a196-b6f92fdcb935
Christian 	Von Mering	Von Mering C	Biology & Biochemistry	University of Zurich, Switzerland		http://www.researcherid.com/rid/B-3300-2008	B-3300-2008	2ca197c3-9ec8-49a9-b31e-197202bc5ec8
Lukas 	Wagner	Wagner L	Biology & Biochemistry	NIH, USA				586461e8-4812-4abe-b9fe-fade571e49cb
Yanli 	Wang	Wang Y	Biology & Biochemistry	Natl Lib Med, USA	NIH, USA			c29f9a40-dbaa-4489-97b2-bf600dcde41c
William I	Weis	Weis WI	Biology & Biochemistry	Stanford University, USA				9f1cc497-7dd4-4520-a1fb-79d54b311cdc
David L	Wheeler	Wheeler DL	Biology & Biochemistry	Natl Inst Hlth, USA				832e9af4-6332-491c-88ec-0cb6e823376c
Simon 	White	White S	Biology & Biochemistry	Baylor College of Medicine, USA				dffe200f-d48b-4321-8e96-681f77e76b4a
David S	Wishart	Wishart DS	Biology & Biochemistry	University of Alberta, Canada	CNR, Canada			67f220f2-6833-4507-8a2f-03d39117333b
Cathy H	Wu	Wu CH	Biology & Biochemistry	University of Delaware, USA	Georgetown University, USA			0cbabb87-5901-49dd-9b74-79a64f281e49
Eugene 	Yaschenko	Yaschenko E	Biology & Biochemistry	NIH, USA				5fa1527c-8caf-4982-88ce-3655eed1e779
Tamotsu 	Yoshimori	Yoshimori T	Biology & Biochemistry	Osaka University, Japan				8b5922a6-2d51-46e3-83d0-4a707074e27d
Ann S	Zweig	Zweig AS	Biology & Biochemistry	University of California, Santa Cruz, USA				76837135-1a8a-4a1c-8691-379adc15aec8
William T	Abraham	Abraham WT	Clinical Medicine	The Ohio State University - Columbus, USA				a7b57563-7f22-4385-ba24-11f59c8fb85d
Stephan 	Achenbach	Achenbach S	Clinical Medicine	University of Giessen, Germany				81dd0b6f-4cab-4403-ab45-95830a68e488
Bharat B	Aggarwal	Aggarwal BB	Clinical Medicine	The University of Texas M. D. Anderson Cancer Center, USA				d11e875f-cfe4-48f4-87a3-f173150f10a5
Shizuo 	Akira	Akira S	Clinical Medicine	Osaka University, Japan		http://www.researcherid.com/rid/C-3134-2009	C-3134-2009	5f1fc70a-b589-4ac0-babc-b4c797dcb86e
Gregory W	Albers	Albers GW	Clinical Medicine	Stanford University, USA				5d5ef997-2695-42f4-bf03-373fe5a86fb2
Hansjuerg 	Alder	Alder H	Clinical Medicine	The Ohio State University - Columbus, USA				1cdc9140-a248-42a8-b2b3-38cef769256b
Douglas G	Altman	Altman DG	Clinical Medicine	University of Oxford, UK				2e24c67d-06b7-46a5-b291-356e1a699ef2
Jeffrey L	Anderson	Anderson JL	Clinical Medicine	Intermt Med Ctr, USA	University of Utah, USA			2f5392ce-8b76-404a-b5d5-2a511336dc36
Garnet L	Anderson	Anderson GL	Clinical Medicine	Fred Hutchinson Canc Res Ctr, USA				6aeab891-214a-47eb-8352-917d9b7f3588
Kenneth C	Anderson	Anderson KC	Clinical Medicine	Harvard University, USA				96ec486d-aacc-410c-864a-babf5ec2a932
Dominick J	Angiolillo	Angiolillo DJ	Clinical Medicine	University of Florida, USA				3affa415-a898-4b5c-ab17-549a86b972ed
Elliott M	Antman	Antman EM	Clinical Medicine	Brigham &Womens Hosp, USA	Harvard University, USA			2da8cdd8-1e09-4988-9119-5d08b37a0542
Piero 	Anversa	Anversa P	Clinical Medicine	Harvard University, USA				4d8ef4d0-4d1b-4a7b-aff0-2795916a5ed5
